"测试结果"	"职业分类"	"职业项"	"所需专业及代码"
"ENTJ
"	"商业"		
		"经理"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120106"
		"高级主管"	"电子商务类1208，电信商务590351，国际商务620305，商务管理620503，移动商务620519"
		"办公室经理"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120106"
		"行政管理人"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"人事经理"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120106"
		"销售经理"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"营销经理"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"网络一体化专家(电讯)"	"计算机0809，电子商务1208"
		"技术培训人员"	"电子807，通信类5903，计算机0809，电子商务1208"
		"信息服务——新业务开发人"	"电子807，通信类5903，计算机0809，电子商务1208"
		"后勤顾问(生产)"	"物流管理与工程类1206，物流管理120601，物流工程120602，物流管理620505"
		"广告业务经理"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"管理顾问：电脑／信息服务，营销，机构重组"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120106"
		"营销经理：广播／电视／有线播放行业"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"媒体策划／买主"	"文化创意与策划660153，戏剧影视导演130306，戏剧影视表演670209，广播影视类6703，广播电视学050302，广播电视工程080707，广播电视编导130305，广播电视技术670301"
		"国际销售和营销"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"特许权所有人"	
		"销售经理：制药业"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"管理人：健康服务
"	"藏医学100503，中医学类1005，针灸推拿学100502，蒙医学100504，维医学100505，壮医学100506，哈医学100508，中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
	"金融"		
		"个人财务设计人"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120209"
		"经济分析家"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120209"
		"抵押经纪人"	
		"信用调查员"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120209"
		"股票经纪人"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120203，金融数学020305"
		"投资银行家"	"财务会计类其他专业620299，财务会计类6202，财务管理120204，会计学120203，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"公司财务律师"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"国际银行家"	"财务会计类其他专业620299，财务会计类6202，财务管理120204，会计学120203，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"经济学家
"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
	"咨询／培训"		
		"商业顾问"	"财务会计类其他专业620299，财务会计类6202，财务管理120204，会计学120203，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"管理顾问"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120106"
		"教育顾问"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"项目设计人"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"管理培训人"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"就业开发专家"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"劳工关系"	"行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"电信安全顾问"	"电信工程及管理080715，程控交换技术590304"
		"公司工作小组培训人
"	"人力资源管理120206，人力资源管理650204，管理科学120101"
	"专业性职业"		
		"律师"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"法官"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"心理学家"	"应用心理学071102，心理学类0711，心理学071102"
		"科学／社会科学教师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"化学工程师"	"化学类0703，化工技术类及其专业530299，应用化学070302，化工技术类及其专业530299，应用化工技术530201，化工技术类其他专业530299"
		"知识产权律师"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"生物医学工程师"	"生物医学工程类0826，生物医学工程082602"
		"精神病学家"	"精神医学100205"
		"环境工程师
"	"环境工程082502，环保类6001"
"ENFP
"			
	"创造性职业"		
		"记者"	"新闻传播学类0503，新闻学050301，新闻采编与制作670308，网络新闻与传播670316"
		"编剧或剧作家"	"戏剧与影视学类1303，戏剧学130302，戏剧影视导演130306，戏剧影视表演670209"
		"专栏作家"	"戏剧与影视学类1303，戏剧学130302，戏剧影视导演130306，戏剧影视表演670209"
		"性格演员"	"戏剧与影视学类1303，戏剧学130302，戏剧影视导演130306，戏剧影视表演670209"
		"音乐家或作曲家"	"音乐与舞蹈学类1302，音乐学130202，音乐表演130201"
		"新闻广播员"	"广播影视类6703，广播电视学050302，广播电视工程080707，广播电视编导130305，广播电视技术670301"
		"室内装潢人"	"室内设计技术560104，室内艺术设计670136，装潢设计与工艺教育040330"
		"卡通制作人"	"动画130310"
		"艺术家"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
		"报道人或编辑"	"新闻传播学类0503，新闻学050301，新闻采编与制作670308，网络新闻与传播670316"
		"杂志报道人或编辑"	"新闻传播学类0503，新闻学050301，新闻采编与制作670308，网络新闻与传播670316"
		"信息图片设计师
"	"工艺美术品设计与制作670134，设计学类1305"
	"营销／计划"		
		"公关专家"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"营销顾问"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"广告业务经理"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"广告撰稿人或公共写作人"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"广告创意指导"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"战略策划人"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"报刊宣传员"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"调研助理"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"编辑或艺术指导(杂志)
"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
	"教育／咨询"		
		"特殊教育老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"双语种教育老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"早期儿童教育老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"艺术戏剧、音乐及英语老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"儿童福利顾问"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"酒精毒品禁戒顾问"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"社会工作者(老年人及儿童日常照顾问题)"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"发展指导"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"职业顾问"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"住宅安居指挥"	
		"民意调查员"	
		"主教顾问"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"康复中心工作人员"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100125"
		"社会学家"	"社会学类0303，社会学030301"
		"心理学家
"	"应用心理学071102，心理学类0711，心理学071102"
	"健康护理／社会服务"		
		"营养学家"	"医学营养630407，营养配餐640204，烹饪与营养教育082708，食品卫生与营养学100402，食品营养与卫生610318"
		"语言病理学家或听觉学家"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"全面健康医生"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100125"
		"按摩治疗专家"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"雇员辅助计划顾问"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"理疗专家"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100125"
		"法律调停人
"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
	"企业家／商业"		
		"顾问"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120106"
		"发明家"	
		"无形商品或点子的销售"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"人力资源经理"	"人力资源管理120206，人力资源管理650204，管理科学120101"
		"人力资源发展训练人"	"人力资源管理120206，人力资源管理650204，管理科学120101"
		"会议安排人"	"人力资源管理120206，人力资源管理650204，管理科学120101"
		"雇佣发展专家"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"饭店老板"	
		"管理顾问：转变管理体制或合作组构建或管理多样化"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120106"
		"公司或小组培训人"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120106"
		"人力资源多样化管理人"	"人力资源管理120206，人力资源管理650204，管理科学120101"
		"广告业务管理人或经理"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"公关专家"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"营销主管：广播或电视或有线转播业"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"调职顾问"	
		"环境法律师
"	"环境工程082502，环保类6001"
"ENFJ 
"			
	"交流性职业"		
		"广告销售主管"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"公共关系专家"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"对外交流董事"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"作家／新闻工作者"	"新闻传播学类0503，新闻学050301，新闻采编与制作670308，网络新闻与传播670316"
		"娱乐表演者／艺术家"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
		"资金筹备人"	
		"招聘人员"	"人力资源管理120206，人力资源管理650204，管理科学120101"
		"娱乐业导演"	"戏剧与影视学类1303，戏剧学130302，戏剧影视导演130306，戏剧影视表演670209，广播影视类6703，广播电视学050302，广播电视工程080707，广播电视编导130305，广播电视技术67030"
		"电视制片人"	"文化创意与策划660153，戏剧影视导演130306，戏剧影视表演670209，广播影视类6703，广播电视学050302，广播电视工程080707，广播电视编导130305，广播电视技术670301"
		"新闻广播员"	"新闻传播学类0503，新闻学050301，新闻采编与制作670308，网络新闻与传播670316"
		"政客"	
		"信息制图设计人"	"工艺美术品设计与制作670134，设计学类1305"
		"营销经理(电台、电视、有线播放行业)"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"编辑(杂志)
"	"新闻传播学类0503，新闻学050301，新闻采编与制作670308，网络新闻与传播670316"
	"咨询顾问"		
		"心理医生"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"职业顾问"	"人力资源管理120206，人力资源管理650204，管理科学120101"
		"牧师／教士"	
		"翻译／口译"	"英语050201，应用外语660156，英语教育660203"
		"雇员帮助顾问"	"人力资源管理120206，人力资源管理650204，管理科学120101"
		"便利促进人"	
		"私人顾问"	"行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"公司公共活动顾问"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"酒精和毒品戒禁顾问
"	
	"教育／社会服务职业"		
		"教师：卫生健康／艺术／戏剧／英文"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"学生的系主任"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"大学教授：人文学科"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"儿童福利工作者"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"图书馆管理员"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"社会工作者"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"特殊教育教师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"双语种教育老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"老年人社会工作者"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"住宅安居指导"	
		"非盈利性组织的指导者"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120106"
		"早期教育教师
"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
	"健康护理职业"		
		"全面健康医生(可替代药物)"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"饮食学家/营养学家"	"医学营养630407，营养配餐640204，烹饪与营养教育082708，食品卫生与营养学100402，食品营养与卫生610318"
		"语言障碍病理学家/听觉病理学家"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"职业治疗医生
"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
	"商业/咨询职业"		
		"开发人力资源的培训员"	"人力资源管理120206，人力资源管理650204，管理科学120101"
		"推销培训员"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"招聘人员"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"旅游代理人"	
		"小型企业经理"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"项目设计人"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"销售经理"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"调职顾问"	
		"公司/工作小组的培训员"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"生态旅行专家"	"环境工程082502，环保类6001"
		"管理顾问
"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
"ISTP
"			
	"销售部门／服务部门／劳改部门"		
		"警员或劳教人员"	
		"赛车手"	
		"飞机驾驶员"	
		"武器操作员"	
		"猎人"	
		"情报人员"	
		"司法官"	
		"消防员"	
		"调查员"	
		"运动器材商品推销"	
		"药品推销"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"私人调查或私人侦探
"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
	"技术部门"		
		"电器设备专家"	"电子807，机电一体化580201，机械制造580102，机械类0802，机械工程080201"
		"信息产业开发人员"	"电子807，通信类5903"
		"技术培训人员——一对一设置的"	
		"后勤和供给制造商或经理"	"物流管理与工程类1206，物流管理120601，物流工程120602，物流管理620505"
		"网络调查专家(通讯部门)"	"电子807，通信类5903，计算机0809，电子商务1208"
		"电脑程序设计师"	"电子807，通信类5903，计算机0809，电子商务1208"
		"海洋生物学家"	"海洋科学类0707，水文地质与勘查技术540105，水文与水资源工程081102，水文与工程地质540203，水文与水资源类其他专业570199，水文与水资源类5701"
		"电器工程师、机械工程师、土木工程师
"	"电子807，机电一体化580201，机械制造580102，机械类0802，机械工程080201，土木类0810，土木工程081001，土木工程检测技术560304"
	"健康护理业"		
		"心电图专家或技师"	
		"透射技师"	
		"急救医生"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"运动保健医生"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100125"
		"牙医牙科助理
"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100125"
	"商业／金融业"		
		"证券分析家"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120203，金融数学020305"
		"采购员"	
		"办公室管理人员"	"行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"银行家"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"经济学家"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"法律顾问"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"业务顾问"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"律师帮办
"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
	"贸易部门"		
		"计算机维修"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"飞机技师"	"飞行技术081805，飞行器设计与工程082002，飞行器维修技术520516，飞行器制造工程082003，飞行器动力工程082004，飞行器质量与可靠性082006,飞行器制造技术520513"
		"农场人员"	
		"教练"	
		"木工"	
		"汽车部件零售商"	"机械设计5801，汽车类5804，汽车造型技术580416，汽车改装技术580404，市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"商业家
"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
"ISTJ
"			
	"商业"		
		"审计员"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120208"
		"公司经理"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"会计"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120209"
		"管理者／监督人"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"文字信息处理专家"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"效率专家／效率分析者"	
		"保险业主(保险商)"	"保险学020303，保险实务620107，机动车保险实务620121，法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"后勤供给经理"	"物流管理与工程类1206，物流管理120601，物流工程120602，物流管理620505"
		"制定规章制度的官员"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"信息总管"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"会计／保险统计员
"	"财务会计类其他专业620299，财务会计类6202，财务管理120204，会计学120203，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
	"销售／服务"		
		"警察局高级职员／侦探"	
		"情报检索服务社代理人"	
		"政府雇员"	
		"陆军军官"	
		"管教人员"	
		"房地产代理商"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"体育设备／商品销售商"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"教养所所长
"	
	"金融"		
		"银行查帐员"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120203，金融数学020305"
		"投资担保人"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120203，金融数学020305"
		"税收监察员"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120203，金融数学020305"
		"预算分析员"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120203，金融数学020305"
		"股票经纪人"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"房地产策划"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"信贷分析员
"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120208"
	"教育"		"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"学校校长"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"教师：技术／工业／数学／物理"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"图书管理员"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"管理者
"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
	"法律／技术"		
		"法律调查员"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"律师秘书"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"电工"	
		"工程师"	"环境工程082502，环保类6001"
		"机械师"	"机械制造580102，机电一体化580201，汽车类5804，制冷550205，机械类802"
		"计算机程序设计员"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"科学作家"	"戏剧与影视学类1303，戏剧学130302，戏剧影视导演130306，戏剧影视表演670209"
		"律师秘书／律师专职助手"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"药品经销商／调查员"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"脑电图技术专家／技师"	"计算机0809，软件工程080902"
		"地质学家"	"矿产地质与勘察540106，地质类0814，矿物资源工程081505，采矿工程081501"
		"气象学家"	"气象类6002，应用气象学070602，应用气象技术600203"
		"航空机械师"	"飞行技术081805，飞行器设计与工程082002，飞行器维修技术520516"
		"机械／工业／电子工程师"	"机械制造580102，机电一体化580201，汽车类5804，制冷550205，机械类802"
		"农业科学家
"	"农学090101，水土保持与荒漠化防治090203，土地整治工程082306，农业工程类0823，农业机械化及其自动化082302，农业技术类5101，农业技术类其他专业510199"
	"保健"		
		"兽医"	"动物药学090402，动物医学510310，动物医学类0904，动物医学090401"
		"普通外科医师"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"牙医"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100125"
		"护理指导员"	"藏医学100503，中医学类1005，针灸推拿学100502，蒙医学100504，维医学100505，壮医学100506，哈医学100508，中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"保健指导员"	"藏医学100503，中医学类1005，针灸推拿学100502，蒙医学100504，维医学100505，壮医学100506，哈医学100508，中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
