"测试结果"	"职业分类"	"职业项"	"所需专业及代码"
		"药剂师"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"实验室技术人员"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"医学研究者"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"最初保健护理医师"	"藏医学100503，中医学类1005，针灸推拿学100502，蒙医学100504，维医学100505，壮医学100506，哈医学100508，中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"生物学和医学技术专家"	"生物医学工程类0826，生物医学工程082602"
		"运动生理学家"	"生物医学工程类0826，生物医学工程082602"
		"药剂师／配药技术员
"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
"ISFP
"			
	"工艺部门"		
		"时装设计"	"工艺美术品设计与制作670134，工业设计580109，服装设计与工程081602，服装设计与工艺610211"
		"木匠"	
		"珠宝商"	
		"园艺匠"	"风景园林082803，园林090502，园林技术510202，园林工程技术560106，风景园林设计560107"
		"织毯工人"	
		"陶工"	
		"漆匠"	
		"舞蹈员"	"音乐与舞蹈学类1302，舞蹈表演130204，舞蹈学130205，舞蹈编导130206，舞蹈编导670212，舞蹈表演670203"
		"设计人员：内容／背景"	"工艺美术品设计与制作670134，工业设计580109，服装设计与工程081602，服装设计与工艺610211"
		"厨师长
"	
	"健康护理部门"		
		"上门服务护士"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"运动专家"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"按摩医生"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"放射技师"	"医学影像技术101003"
		"医务助理"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100125"
		"牙科助理／保健医师"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"兽医助理"	"动物药学090402，动物医学510310，动物医学类0904，动物医学090401"
		"动物护理人员／训练人员"	"动物药学090402，动物医学510310，动物医学类0904，动物医学090401"
		"家庭保健助理"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"初级保健大夫"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"饮食专家／营养学家"	"医学营养630407，营养配餐640204，烹饪与营养教育082708，食品卫生与营养学100402，食品营养与卫生610318"
		"验光师／配镜师"	
		"运动心理专家"	"应用心理学071102，心理学类0711，心理学071102"
		"职业疗法医师"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"工艺师"	
		"药剂师"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"呼吸系统专家"	
		"执行医护士
"	"护理630201，护理类6302，护理学类1011，护理学101101"
	"技术工作"		
		"调查员"	
		"计算机操作人员"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"林务员"	"林学类0905，林学090501，林业技术类5102，林业技术类其他专业510299"
		"植物学家"	"植物生产类0901，植物保护090103，植物保护510109，野生植物资源开发与利用510204"
		"地质学家"	"矿产地质与勘察540106，地质类0814，矿物资源工程081505，采矿工程081501"
		"技师"	
		"海洋生物学家
"	"海洋科学类0707，水文地质与勘查技术540105，水文与水资源工程081102，水文与工程地质540203，水文与水资源类其他专业570199，水文与水资源类5701"
	"销售／服务业"		
		"教师：初级(自然科学／艺术)"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"警察／劳改官员"	
		"紧急热线电话操作员"	
		"清洁服务人员"	
		"仓库保管员"	
		"侍者"	
		"美容师"	
		"旅行用品推销"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"优质用户销售代表"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"商业计划人员"	
		"体育设备推销"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"家用保健品推销"	"藏医学100503，中医学类1005，针灸推拿学100502，蒙医学100504，维医学100505，壮医学100506，哈医学100508，中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"家庭保健护理人员"	"藏医学100503，中医学类1005，针灸推拿学100502，蒙医学100504，维医学100505，壮医学100506，哈医学100508，中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"儿童福利咨询人员"	
		"戒酒戒毒顾问"	
		"社会工作人员
"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
	"商业"		
		"记帐员"	
		"司法员"	
		"打字员"	
		"职员监督人员"	
		"经理人员"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"律师帮办
"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
"ISFJ
"			
	"健康护理部分"		
		"牙医"	
		"家庭运动医生"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"护士"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"医务技术专家"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"理疗法专家"	"藏医学100503，中医学类1005，针灸推拿学100502，蒙医学100504，维医学100505，壮医学100506，哈医学100508，中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"医疗设备推销"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"提供健康护理人员"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"饮食专家／营养学家"	"医学营养630407，营养配餐640204，烹饪与营养教育082708，食品卫生与营养学100402，食品营养与卫生610318"
		"眼科大夫"	
		"医务记录管理人员"	
		"药剂师／药剂技术人员"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"放射专家"	"医学影像技术101003"
		"呼吸系统专家"	
		"兽医"	"动物药学090402，动物医学510310，动物医学类0904，动物医学090401"
		"有执照行医护士"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"初级保健大夫"	"中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"家庭保健助理"	"中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"医务／牙科助理
"	"护理630201，护理类6302，护理学类1011，护理学101101"
	"社会服务部门／教育部门"		
		"学前教育／初级学校教师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"图书馆员／建筑师"	"建筑类0828，建筑学080201，建筑设计类5601"
		"教育管理人员"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"社会福利工作人员"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"咨询服务人员"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"个人咨询人员"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"宗教教育者"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"言语病理学家"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"家庭健康社会服务人员"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"儿童福利咨询人员"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"戒酒和戒毒咨询人员"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"小学教师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"图书管理员／档案保管员"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"特殊教育老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"(博物馆、美术馆、图书馆等的)馆长"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"家谱学家"	
		"教育行政人员"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"咨询服务人员"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"社会工作者(老年服务)"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"神学教育者"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"(博物馆、图书馆、美术馆等的)馆长"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"社会工作人员(老年和儿童每日看护问题)
"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
	"商业"		
		"秘书"	
		"员工监督人"	
		"顾客服务代表"	
		"人事管理人员"	
		"计算机操作者"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"记帐员"	
		"信用顾问"	
		"律师的专职助手"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"家用保健品推销
"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
	"造性／技术性"		
		"内部装饰人员"	"室内设计技术560104，室内艺术设计670136，装潢设计与工艺教育040330"
		"电工"	
		"零售商"	
		"旅店老板"	
		"艺术家"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
		"音乐家"	"音乐与舞蹈学类1302，音乐学130202，音乐表演130201"
		"优先顾客销售代理人"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"商业计划者"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"不动产经纪人
"	
"INTP
"			
	"计划和开发"		
		"计算机软件设计员"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"计算机程序员"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"系统分析人员／数据库管理人员"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"调查开发专家"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"战略策划者"	
		"新市场或新产品开发者"	
		"网络一体化专家(电信专家)"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"转换管理方式的咨询"	
		"财政计划者"	"财务会计类其他专业620299，财务会计类6202，财务管理120204，会计学120203，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"投资银行家"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"信息服务开发者——计算机程序设计"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"信息服务——新的商业开发领域"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"管理咨询：计算机／信息服务，销售，重组
"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
	"保健／技术"		
		"神经病学家"	"精神医学100205"
		"物理学家"	
		"整形外科医生"	"生物医学100102，生物医学科学100103，临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100106"
		"药剂师"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"科学家：化学／生物"	"化学类0703，化工技术类及其专业530299，应用化学070302，化工技术类及其专业530299，应用化工技术530201，化工技术类其他专业530299，生物医学工程类0826，生物医学工程082603"
		"药品调查员"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"生物工程学家"	"生物医学100102，生物医学科学100103"
		"兽医
"	"动物药学090402，动物医学510310，动物医学类0904，动物医学090401"
	"专门领域"		
		"律师"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"经济学家"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"心理学家／精神分析学家"	"应用心理学071102，心理学类0711，心理学071102"
		"金融分析家"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"建筑师"	"建筑类0828，建筑学080201，建筑设计类5601"
		"侦探"	
		"知识产权代理人"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"法律调解人"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"公司财务代理人"	"财务会计类其他专业620299，财务会计类6202，财务管理120204，会计学120203，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"精神病医生
"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
	"学术领域"		
		"数学家"	"数学类0701"
		"考古学家"	"考古学060103，考古探掘技术660155"
		"历史学家"	"历史学类0601，历史学060101"
		"哲学家"	"哲学类0101，哲学010101"
		"大学里的高级教师"	
		"学术研究者"	
		"逻辑学家"	"逻辑学010102"
		"大学行政官员"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"经济学家"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"翻译
"	"英语050201，应用外语660156，英语教育660203"
	"创造性的职业"		
		"摄影师"	"摄影130404"
		"富有创造力的作家"	"电影学130303，戏剧影视文学130304"
		"艺术家"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
		"演员／舞蹈家"	"音乐与舞蹈学类1302，舞蹈表演130204，舞蹈学130205，舞蹈编导130206，舞蹈编导670212，舞蹈表演670203"
		"音乐家"	"音乐与舞蹈学类1302，音乐学130202，音乐表演130201"
		"代理人"	
		"发明家"	
		"信息图表设计者
"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
"INTJ
"			
	"商业／金融"		
		"电信安全"	"电信工程及管理080715，程控交换技术590304"
		"经济学家"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"国际银行家"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"药物研究员"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"财务计划人"	"财务会计类其他专业620299，财务会计类6202，财务管理120204，会计学120203，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"投资银行家"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"管理顾问：电脑／信息服务，营销，机构重组
"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
	"科技"		
		"科学家／科学研究员"	
		"技术人员：电力／电子"	"电子807，通信类5903"
		"设计工程师"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
		"宇航员"	
		"电脑程序员"	"计算机0809，软件工程080902"
		"环境规划人"	"环境工程082502，环保类6001"
		"生物医学研究员／工程师"	"生物医学100102，生物医学科学100103"
		"电脑系统分析员"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"操作研究分析员"	"计算机0809，软件工程080902"
		"信息服务开发人"	"计算机0809，软件工程080902"
		"软件和系统研究员和开发员"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"网络一体化专家(电信业)"	"计算机0809，软件工程080902"
		"信息服务——新业务开发人
"	"计算机0809，软件工程080902"
	"教育"		
		"教师：大学"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"学习课程设计人"	
		"行政管理人"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"数学家
"	"数学类0701"
	"健康护理／医药"		
		"精神病学家"	"精神医学100205"
		"心理学家"	"应用心理学071102，心理学类0711，心理学071102"
		"神经病学家"	
		"生物医学工程师"	"生物医学100102，生物医学科学100103"
		"心病学家"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"药物学家"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"药物研究员"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"生物医学研究员
"	"生物医学100102，生物医学科学100103"
	"专门职业"		
		"代理人：行政管理／诉讼"	
		"管理顾问"	
		"战略设计人"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"投资／商业分析家"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"经理"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"法官"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"新闻分析员／撰稿人"	"新闻传播学类0503，新闻学050301，新闻采编与制作670308，网络新闻与传播670316"
		"工程师"	
		"冶金工程师"	"冶金工程080404"
		"知识产权律师"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"土木工程师
"	"土木类0810，土木工程081001，土木工程检测技术560304"
	"创造性职业"		
		"作家／社论作家"	"电影学130303，戏剧影视文学130304"
		"艺术家"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
		"发明家"	
		"设计人"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
		"建筑师"	"建筑类0828，建筑学080201，建筑设计类5601"
		"整体设计建筑师"	"建筑类0828，建筑学080201，建筑设计类5601"
		"信息制图设计师"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"自由媒体设计人"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
		"编辑／艺术指导
"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
"INFP
"			
	"创造性职业／艺术"		
		"艺术家"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
		"作家：诗人／小说家"	"中国语言文学类0501，汉语言文学050101"
		"记者"	"新闻传播学类0503，新闻学050301，新闻采编与制作670308，网络新闻与传播670316"
		"娱乐人士"	
		"建筑师"	"建筑类0828，建筑学080201，建筑设计类5601"
		"演员"	"戏剧与影视学类1303，戏剧学130302，戏剧影视导演130306，戏剧影视表演670209，广播影视类6703，广播电视学050302，广播电视工程080707，广播电视编导130305，广播电视技术67030"
		"编辑"	"新闻传播学类0503，新闻学050301，新闻采编与制作670308，网络新闻与传播670316"
		"音乐家"	"音乐与舞蹈学类1302，音乐学130202，音乐表演130201"
		"信息制图设计师"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"编辑／艺术指导(杂志)
"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
	"教育／咨询职业"		
		"大学教授：人文／艺术"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
		"调研员"	
		"心理学家"	"应用心理学071102，心理学类0711，心理学071102"
		"顾问"	
		"社会工作者"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"图书管理员.教育顾问"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"特殊教育老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"双语种教育老师.儿童早期教育老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"雇员帮助顾问"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"儿童福利顾问"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"酒精和毒品禁戒顾问"	
		"翻译／口译"	
		"法律调停人"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"社会工作者(老年人和儿童日常护理问题)
"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
	"宗教职业"		
		"牧师"	
		"宗教教育工作者"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"传教士"	
		"教堂工作人员
"	
	"医疗保健"		
		"饮食学家／营养学家"	"医学营养630407，营养配餐640204，烹饪与营养教育082708，食品卫生与营养学100402，食品营养与卫生610318"
		"理疗医生"	"中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"家庭健康社会工作者"	"中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"职业治疗医生"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"按摩专家"	"中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"全面健康医生"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"语言病理学家／听觉病理学家
"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
	"机构发展"		
		"雇员发展专家"	
		"人力资源开发"	"人力资源管理120206，人力资源管理650204，管理科学120101"
		"社会科学家"	"社会学类0303，社会学030301"
		"多样化管理人"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"顾问工作组构建／冲突解决
"	
"INFJ
"			
	"—般职业咨询／教育职业"		
		"职业咨询顾问"	"应用心理学071102，心理学类0711，心理学071102"
		"心理学家"	"应用心理学071102，心理学类0711，心理学071102"
		"教育顾问"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"图书管理员"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"特殊教育老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"双语教育老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"早期教育老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"雇员帮助顾问"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"儿童福利顾问"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"酒精和毒品禁戒顾问"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"教师：高中或大学英语、艺术、音乐、社会科学"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
		"社会：工作人员(老人与儿童口常护理问题)戏剧
"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
	"家教职业"		
		"牧师／教士／修道士／修女"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
